lesmis/lesmis_0001.wav|Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple|Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple|7.63
lesmis/lesmis_3981.wav|on eût entendu d'effrayants sanglots.|on eût entendu d'effrayants sanglots.|5.9
lesmis/lesmis_3982.wav|Livre sixième--La nuit blanche Chapitre IV _Immortale jecur_|Livre sixième--La nuit blanche Chapitre IV Immortale jecur|9.93
lesmis/lesmis_3983.wav|La vieille lutte formidable, dont nous avons déjà vu plusieurs phases, recommença. Jacob ne lutta avec l'ange qu'une nuit.|La vieille lutte formidable, dont nous avons déjà vu plusieurs phases, recommença. Jacob ne lutta avec l'ange qu'une nuit.|9.47
lesmis/lesmis_3984.wav|Hélas! combien de fois avons-nous vu Jean Valjean saisi corps à corps dans les ténèbres par sa conscience|Hélas! combien de fois avons-nous vu Jean Valjean saisi corps à corps dans les ténèbres par sa conscience|8.2
lesmis/lesmis_3985.wav|et luttant éperdument contre elle! Lutte inouïe!|et luttant éperdument contre elle! Lutte inouïe!|4.97
lesmis/lesmis_3986.wav|À de certains moments, c'est le pied qui glisse; à d'autres instants, c'est le sol qui croule.|de certains moments, c'est le pied qui glisse; à d'autres instants, c'est le sol qui croule.|6.65
lesmis/lesmis_3987.wav|Combien de fois cette conscience, forcenée au bien, l'avait-elle étreint et accablé!|Combien de fois cette conscience, forcenée au bien, l'avait-elle étreint et accablé!|5.94
lesmis/lesmis_3988.wav|Combien de fois la vérité, inexorable, lui avait-elle mis le genou sur la poitrine!|Combien de fois la vérité, inexorable, lui avait-elle mis le genou sur la poitrine!|5.86
lesmis/lesmis_3989.wav|Combien de fois, terrassé par la lumière, lui avait-il crié grâce!|Combien de fois, terrassé par la lumière, lui avait-il crié grâce!|5.54
lesmis/lesmis_3990.wav|Combien de fois cette lumière implacable, allumée en lui et sur lui par l'évêque, l'avait-elle ébloui de force alors qu'il souhaitait être aveuglé!|Combien de fois cette lumière implacable, allumée en lui et sur lui par l'évêque, l'avait-elle ébloui de force alors qu'il souhaitait être aveuglé!|10.25
lesmis/lesmis_3991.wav|Combien de fois s'était-il redressé dans le combat,|Combien de fois s'était-il redressé dans le combat,|3.25
lesmis/lesmis_3992.wav|retenu au rocher, adossé au sophisme, traîné dans la poussière, tantôt renversant sa conscience sous lui, tantôt renversé par elle!|retenu au rocher, adossé au sophisme, traîné dans la poussière, tantôt renversant sa conscience sous lui, tantôt renversé par elle!|9.78
lesmis/lesmis_3993.wav|Combien de fois, après une équivoque, après un raisonnement traître et spécieux de l'égoïsme,|Combien de fois, après une équivoque, après un raisonnement traître et spécieux de l'égoïsme,|6.7
lesmis/lesmis_3994.wav|avait-il entendu sa conscience irritée lui crier à l'oreille: Croc-en-jambe! misérable!|avait-il entendu sa conscience irritée lui crier à l'oreille: Croc-en-jambe! misérable!|7.51
lesmis/lesmis_3995.wav|Combien de fois sa pensée réfractaire avait-elle râlé convulsivement sous l'évidence du devoir! Résistance à Dieu.|Combien de fois sa pensée réfractaire avait-elle râlé convulsivement sous l'évidence du devoir! Résistance à Dieu.|8.76
lesmis/lesmis_3996.wav|Sueurs funèbres. Que de blessures secrètes, que lui seul sentait saigner!|Sueurs funèbres. Que de blessures secrètes, que lui seul sentait saigner!|6.61
lesmis/lesmis_3997.wav|Que d'écorchures à sa lamentable existence!|Que d'écorchures à sa lamentable existence!|4.08
lesmis/lesmis_3998.wav|Combien de fois s'était-il relevé sanglant, meurtri, brisé, éclairé, le désespoir au coeur, la sérénité dans l'âme?|Combien de fois s'était-il relevé sanglant, meurtri, brisé, éclairé, le désespoir au coeur, la sérénité dans l'âme?|9.29
lesmis/lesmis_3999.wav|et, vaincu, il se sentait vainqueur.|et, vaincu, il se sentait vainqueur.|3.63
lesmis/lesmis_4000.wav|Et, après l'avoir disloqué, tenaillé et rompu, sa conscience, debout au-dessus de lui, redoutable, lumineuse, tranquille, lui disait:|Et, après l'avoir disloqué, tenaillé et rompu, sa conscience, debout au-dessus de lui, redoutable, lumineuse, tranquille, lui disait:|10.81
lesmis/lesmis_4001.wav|Maintenant, va en paix! Mais, au sortir d'une si sombre lutte, quelle paix lugubre, hélas!|Maintenant, va en paix! Mais, au sortir d'une si sombre lutte, quelle paix lugubre, hélas!|9.44
lesmis/lesmis_4002.wav|Cette nuit-là pourtant, Jean Valjean sentit qu'il livrait son dernier combat. Une question se présentait, poignante.|Cette nuit-là pourtant, Jean Valjean sentit qu'il livrait son dernier combat. Une question se présentait, poignante.|8.34
lesmis/lesmis_4003.wav|Les prédestinations ne sont pas toutes droites, elles ne se développent pas en avenue rectiligne devant le prédestiné;|Les prédestinations ne sont pas toutes droites, elles ne se développent pas en avenue rectiligne devant le prédestiné;|8.24
lesmis/lesmis_4004.wav|elles ont des impasses, des cæcums, des tournants obscurs, des carrefours inquiétants offrant plusieurs voies.|elles ont des impasses, des cæcums, des tournants obscurs, des carrefours inquiétants offrant plusieurs voies.|7.56
lesmis/lesmis_4005.wav|Jean Valjean faisait halte en ce moment au plus périlleux de ces carrefours. Il était parvenu au suprême croisement du bien et du mal.|Jean Valjean faisait halte en ce moment au plus périlleux de ces carrefours. Il était parvenu au suprême croisement du bien et du mal.|9.49
lesmis/lesmis_4006.wav|Il avait cette ténébreuse intersection sous les yeux.|Il avait cette ténébreuse intersection sous les yeux.|3.57
lesmis/lesmis_4007.wav|Cette fois encore, comme cela lui était déjà arrivé dans d'autres péripéties douloureuses, deux routes s'ouvraient devant lui;|Cette fois encore, comme cela lui était déjà arrivé dans d'autres péripéties douloureuses, deux routes s'ouvraient devant lui;|7.72
lesmis/lesmis_4008.wav|l'une tentante, l'autre effrayante. Laquelle prendre?|l'une tentante, l'autre effrayante. Laquelle prendre?|4.67
lesmis/lesmis_4009.wav|Celle qui effrayait était conseillée par le mystérieux doigt indicateur que nous apercevons tous chaque fois que nous fixons nos yeux sur l'ombre.|Celle qui effrayait était conseillée par le mystérieux doigt indicateur que nous apercevons tous chaque fois que nous fixons nos yeux sur l'ombre.|9.23
lesmis/lesmis_4010.wav|Jean Valjean avait, encore une fois, le choix entre le port terrible et l'embûche souriante.|Jean Valjean avait, encore une fois, le choix entre le port terrible et l'embûche souriante.|7.66
lesmis/lesmis_4011.wav|Cela est-il donc vrai? l'âme peut guérir; le sort, non. Chose affreuse! une destinée incurable!|Cela est-il donc vrai? l'âme peut guérir; le sort, non. Chose affreuse! une destinée incurable!|9.9
lesmis/lesmis_4012.wav|La question qui se présentait, la voici:|La question qui se présentait, la voici:|4.02
lesmis/lesmis_4013.wav|De quelle façon Jean Valjean allait-il se comporter avec le bonheur de Cosette et de Marius? Ce bonheur, c'était lui qui l'avait voulu,|De quelle façon Jean Valjean allait-il se comporter avec le bonheur de Cosette et de Marius? Ce bonheur, c'était lui qui l'avait voulu,|9.51
lesmis/lesmis_4014.wav|c'était lui qui l'avait fait; il se l'était lui-même enfoncé dans les entrailles, et à cette heure, en le considérant,|c'était lui qui l'avait fait; il se l'était lui-même enfoncé dans les entrailles, et à cette heure, en le considérant,|8.73
lesmis/lesmis_4015.wav|il pouvait avoir l'espèce de satisfaction qu'aurait un armurier qui reconnaîtrait sa marque de fabrique sur un couteau,|il pouvait avoir l'espèce de satisfaction qu'aurait un armurier qui reconnaîtrait sa marque de fabrique sur un couteau,|8.52
lesmis/lesmis_4016.wav|en se le retirant tout fumant de la poitrine. Cosette avait Marius, Marius possédait Cosette.|en se le retirant tout fumant de la poitrine. Cosette avait Marius, Marius possédait Cosette.|8.87
lesmis/lesmis_4017.wav|Ils avaient tout, même la richesse. Et c'était son oeuvre.|Ils avaient tout, même la richesse. Et c'était son oeuvre.|4.33
lesmis/lesmis_4018.wav|Mais ce bonheur, maintenant qu'il existait, maintenant qu'il était là, qu'allait-il en faire, lui Jean Valjean? S'imposerait-il à ce bonheur?|Mais ce bonheur, maintenant qu'il existait, maintenant qu'il était là, qu'allait-il en faire, lui Jean Valjean? S'imposerait-il à ce bonheur?|9.86
lesmis/lesmis_4019.wav|Le traiterait-il comme lui appartenant? Sans doute Cosette était à un autre;|Le traiterait-il comme lui appartenant? Sans doute Cosette était à un autre;|5.56
lesmis/lesmis_4020.wav|mais lui Jean Valjean retiendrait-il de Cosette tout ce qu'il en pourrait retenir?|mais lui Jean Valjean retiendrait-il de Cosette tout ce qu'il en pourrait retenir?|5.71
lesmis/lesmis_4021.wav|Resterait-il l'espèce de père, entrevu, mais respecté, qu'il avait été jusqu'alors?|Resterait-il l'espèce de père, entrevu, mais respecté, qu'il avait été jusqu'alors?|6.77
lesmis/lesmis_4022.wav|S'introduirait-il tranquillement dans la maison de Cosette? Apporterait-il, sans dire mot, son passé à cet avenir?|S'introduirait-il tranquillement dans la maison de Cosette? Apporterait-il, sans dire mot, son passé à cet avenir?|7.69
lesmis/lesmis_4023.wav|Se présenterait-il là comme ayant droit, et viendrait-il s'asseoir, voilé, à ce lumineux foyer?|Se présenterait-il là comme ayant droit, et viendrait-il s'asseoir, voilé, à ce lumineux foyer?|7.3
lesmis/lesmis_4024.wav|Prendrait-il, en leur souriant, les mains de ces innocents dans ses deux mains tragiques?|Prendrait-il, en leur souriant, les mains de ces innocents dans ses deux mains tragiques?|6.43
lesmis/lesmis_4025.wav|Poserait-il sur les paisibles chenets du salon Gillenormand ses pieds qui traînaient derrière eux l'ombre infamante de la loi?|Poserait-il sur les paisibles chenets du salon Gillenormand ses pieds qui traînaient derrière eux l'ombre infamante de la loi?|9.09
lesmis/lesmis_4026.wav|Entrerait-il en participation de chances avec Cosette et Marius? Épaissirait-il l'obscurité sur son front et le nuage dans le leur?|Entrerait-il en participation de chances avec Cosette et Marius? paissirait-il l'obscurité sur son front et le nuage dans le leur?|9.81
lesmis/lesmis_4027.wav|Mettrait-il en tiers avec deux félicités sa catastrophe? Continuerait-il de se taire?|Mettrait-il en tiers avec deux félicités sa catastrophe? Continuerait-il de se taire?|6.94
lesmis/lesmis_4028.wav|En un mot serait-il, près de ces deux êtres heureux, le sinistre muet de la destinée?|En un mot serait-il, près de ces deux êtres heureux, le sinistre muet de la destinée?|7.71
lesmis/lesmis_4029.wav|Il faut être habitué à la fatalité et à ses rencontres pour oser lever les yeux quand de certaines questions nous apparaissent dans leur nudité horrible.|Il faut être habitué à la fatalité et à ses rencontres pour oser lever les yeux quand de certaines questions nous apparaissent dans leur nudité horrible.|9.58
lesmis/lesmis_4030.wav|Le bien ou le mal sont derrière ce sévère point d'interrogation. Que vas-tu faire? demanda le sphinx.|Le bien ou le mal sont derrière ce sévère point d'interrogation. Que vas-tu faire? demanda le sphinx.|8.09
lesmis/lesmis_4031.wav|Cette habitude de l'épreuve, Jean Valjean l'avait. Il regarda le sphinx fixement.|Cette habitude de l'épreuve, Jean Valjean l'avait. Il regarda le sphinx fixement.|6.85
lesmis/lesmis_4032.wav|Il examina l'impitoyable problème sous toutes ses faces. Cosette, cette existence charmante,|Il examina l'impitoyable problème sous toutes ses faces. Cosette, cette existence charmante,|7.93
lesmis/lesmis_4033.wav|était le radeau de ce naufragé. Que faire? S'y cramponner, ou lâcher prise?|était le radeau de ce naufragé. Que faire? S'y cramponner, ou lâcher prise?|6.94
lesmis/lesmis_4034.wav|S'il s'y cramponnait, il sortait du désastre,|S'il s'y cramponnait, il sortait du désastre,|3.11
lesmis/lesmis_4035.wav|il remontait au soleil, il laissait ruisseler de ses vêtements et de ses cheveux l'eau amère, il était sauvé, il vivait.|il remontait au soleil, il laissait ruisseler de ses vêtements et de ses cheveux l'eau amère, il était sauvé, il vivait.|8.56
lesmis/lesmis_4036.wav|Allait-il lâcher prise? Alors, l'abîme. Il tenait ainsi douloureusement conseil avec sa pensée.|Allait-il lâcher prise? Alors, l'abîme. Il tenait ainsi douloureusement conseil avec sa pensée.|8.31
lesmis/lesmis_4037.wav|Ou, pour mieux dire, il combattait;|Ou, pour mieux dire, il combattait;|2.77
lesmis/lesmis_4038.wav|il se ruait, furieux, au dedans de lui-même, tantôt contre sa volonté, tantôt contre sa conviction.|il se ruait, furieux, au dedans de lui-même, tantôt contre sa volonté, tantôt contre sa conviction.|7.83
lesmis/lesmis_4039.wav|Ce fut un bonheur pour Jean Valjean d'avoir pu pleurer. Cela l'éclaira peut-être. Pourtant le commencement fut farouche.|Ce fut un bonheur pour Jean Valjean d'avoir pu pleurer. Cela l'éclaira peut-être. Pourtant le commencement fut farouche.|8.63
lesmis/lesmis_4040.wav|Une tempête, plus furieuse que celle qui autrefois l'avait poussé vers Arras, se déchaîna en lui.|Une tempête, plus furieuse que celle qui autrefois l'avait poussé vers Arras, se déchaîna en lui.|7.9
lesmis/lesmis_4041.wav|Le passé lui revenait en regard du présent; il comparait et il sanglotait. Une fois l'écluse des larmes ouvertes,|Le passé lui revenait en regard du présent; il comparait et il sanglotait. Une fois l'écluse des larmes ouvertes,|8.37
lesmis/lesmis_4042.wav|le désespéré se tordit. Il se sentait arrêté. Hélas!|le désespéré se tordit. Il se sentait arrêté. Hélas!|6.06
lesmis/lesmis_4043.wav|dans ce pugilat à outrance entre notre égoïsme et notre devoir,|dans ce pugilat à outrance entre notre égoïsme et notre devoir,|4.99
lesmis/lesmis_4044.wav|quand nous reculons ainsi pas à pas devant notre idéal incommutable, égarés, acharnés, exaspérés de céder,|quand nous reculons ainsi pas à pas devant notre idéal incommutable, égarés, acharnés, exaspérés de céder,|8.64
lesmis/lesmis_4045.wav|disputant le terrain,|disputant le terrain,|1.66
lesmis/lesmis_4046.wav|espérant une fuite possible, cherchant une issue, quelle brusque et sinistre résistance derrière nous que le pied du mur!|espérant une fuite possible, cherchant une issue, quelle brusque et sinistre résistance derrière nous que le pied du mur!|9.31
lesmis/lesmis_4047.wav|Sentir l'ombre sacrée qui fait obstacle! L'invisible inexorable, quelle obsession!|Sentir l'ombre sacrée qui fait obstacle! L'invisible inexorable, quelle obsession!|8.14
lesmis/lesmis_4048.wav|Donc avec la conscience on n'a jamais fini. Prends-en ton parti, Brutus; prends-en ton parti, Caton.|Donc avec la conscience on n'a jamais fini. Prends-en ton parti, Brutus; prends-en ton parti, Caton.|8.82
lesmis/lesmis_4049.wav|Elle est sans fond, étant Dieu.|Elle est sans fond, étant Dieu.|2.61
lesmis/lesmis_4050.wav|On jette dans ce puits le travail de toute sa vie, on y jette sa fortune, on y jette sa richesse, on y jette son succès, on y jette sa liberté ou sa patrie,|On jette dans ce puits le travail de toute sa vie, on y jette sa fortune, on y jette sa richesse, on y jette son succès, on y jette sa liberté ou sa patrie,|10.52
lesmis/lesmis_4051.wav|on y jette son bien-être, on y jette son repos, on y jette sa joie. Encore! encore! Videz le vase! penchez l'urne!|on y jette son bien-être, on y jette son repos, on y jette sa joie. Encore! encore! Videz le vase! penchez l'urne!|9.42
lesmis/lesmis_4052.wav|Il faut finir par y jeter son coeur. Il y a quelque part dans la brume des vieux enfers un tonneau comme cela.|Il faut finir par y jeter son coeur. Il y a quelque part dans la brume des vieux enfers un tonneau comme cela.|9.38
lesmis/lesmis_4053.wav|N'est-on pas pardonnable de refuser enfin? Est-ce que l'inépuisable peut avoir un droit?|N'est-on pas pardonnable de refuser enfin? Est-ce que l'inépuisable peut avoir un droit?|8.09
lesmis/lesmis_4054.wav|Est-ce que les chaînes sans fin ne sont pas au-dessus de la force humaine? Qui donc blâmerait Sisyphe et Jean Valjean de dire:|Est-ce que les chaînes sans fin ne sont pas au-dessus de la force humaine? Qui donc blâmerait Sisyphe et Jean Valjean de dire:|9.17
lesmis/lesmis_4055.wav|c'est assez! L'obéissance de la matière est limitée par le frottement;|c'est assez! L'obéissance de la matière est limitée par le frottement;|6.6
lesmis/lesmis_4056.wav|est-ce qu'il n'y a pas une limite à l'obéissance de l'âme?|est-ce qu'il n'y a pas une limite à l'obéissance de l'âme?|4.35
lesmis/lesmis_4057.wav|Si le mouvement perpétuel est impossible, est-ce que le dévouement perpétuel est exigible? Le premier pas n'est rien;|Si le mouvement perpétuel est impossible, est-ce que le dévouement perpétuel est exigible? Le premier pas n'est rien;|8.6
lesmis/lesmis_4058.wav|c'est le dernier qui est difficile. Qu'était-ce que l'affaire Champmathieu à côté du mariage de Cosette et de ce qu'il entraînait? Qu'est-ce que ceci:|c'est le dernier qui est difficile. Qu'était-ce que l'affaire Champmathieu à côté du mariage de Cosette et de ce qu'il entraînait? Qu'est-ce que ceci:|9.71
lesmis/lesmis_4059.wav|entrer dans le bagne, à côté de ceci: entrer dans le néant?|entrer dans le bagne, à côté de ceci: entrer dans le néant?|6.24
lesmis/lesmis_4060.wav|Ô première marche à descendre, que tu es sombre! Ô seconde marche, que tu es noire!|première marche à descendre, que tu es sombre! seconde marche, que tu es noire!|7.11
lesmis/lesmis_4061.wav|Comment ne pas détourner la tête cette fois? Le martyre est une sublimation, sublimation corrosive.|Comment ne pas détourner la tête cette fois? Le martyre est une sublimation, sublimation corrosive.|8.5
lesmis/lesmis_4062.wav|C'est une torture qui sacre. On peut y consentir la première heure; on s'assied sur le trône de fer rouge,|C'est une torture qui sacre. On peut y consentir la première heure; on s'assied sur le trône de fer rouge,|7.61
lesmis/lesmis_4063.wav|on met sur son front la couronne de fer rouge, on accepte le globe de fer rouge, on prend le sceptre de fer rouge,|on met sur son front la couronne de fer rouge, on accepte le globe de fer rouge, on prend le sceptre de fer rouge,|8.34
lesmis/lesmis_4064.wav|mais il reste encore à vêtir le manteau de flamme, et n'y a-t-il pas un moment où la chair misérable se révolte, et où l'on abdique le supplice?|mais il reste encore à vêtir le manteau de flamme, et n'y a-t-il pas un moment où la chair misérable se révolte, et où l'on abdique le supplice?|9.61
lesmis/lesmis_4065.wav|Enfin Jean Valjean entra dans le calme de l'accablement.|Enfin Jean Valjean entra dans le calme de l'accablement.|3.85
lesmis/lesmis_4066.wav|Il pesa, il songea, il considéra les alternatives de la mystérieuse balance de lumière et d'ombre.|Il pesa, il songea, il considéra les alternatives de la mystérieuse balance de lumière et d'ombre.|8.05
lesmis/lesmis_4067.wav|Imposer son bagne à ces deux enfants éblouissants, ou consommer lui-même son irrémédiable engloutissement.|Imposer son bagne à ces deux enfants éblouissants, ou consommer lui-même son irrémédiable engloutissement.|7.78
lesmis/lesmis_4068.wav|D'un côté le sacrifice de Cosette, de l'autre le sien propre. À quelle solution s'arrêta-t-il?|D'un côté le sacrifice de Cosette, de l'autre le sien propre. quelle solution s'arrêta-t-il?|7.97
lesmis/lesmis_4069.wav|Quelle détermination prit-il?|Quelle détermination prit-il?|3.07
lesmis/lesmis_4070.wav|Quelle fut, au dedans de lui-même, sa réponse définitive à l'incorruptible interrogatoire de la fatalité?|Quelle fut, au dedans de lui-même, sa réponse définitive à l'incorruptible interrogatoire de la fatalité?|7.14
lesmis/lesmis_4071.wav|Quelle porte se décida-t-il à ouvrir? Quel côté de sa vie prit-il le parti de fermer et de condamner?|Quelle porte se décida-t-il à ouvrir? Quel côté de sa vie prit-il le parti de fermer et de condamner?|8.79
lesmis/lesmis_4072.wav|Entre tous ces escarpements insondables qui l'entouraient, quel fut son choix? Quelle extrémité accepta-t-il?|Entre tous ces escarpements insondables qui l'entouraient, quel fut son choix? Quelle extrémité accepta-t-il?|8.21
lesmis/lesmis_4073.wav|Auquel de ces gouffres fit-il un signe de tête? Sa rêverie vertigineuse dura toute la nuit.|Auquel de ces gouffres fit-il un signe de tête? Sa rêverie vertigineuse dura toute la nuit.|7.67
lesmis/lesmis_4074.wav|Il resta là jusqu'au jour, dans la même attitude, ployé en deux sur ce lit, prosterné sous l'énormité du sort, écrasé peut-être, hélas!|Il resta là jusqu'au jour, dans la même attitude, ployé en deux sur ce lit, prosterné sous l'énormité du sort, écrasé peut-être, hélas!|10.65
lesmis/lesmis_4075.wav|les poings crispés, les bras étendus à angle droit comme un crucifié décloué qu'on aurait jeté la face contre terre.|les poings crispés, les bras étendus à angle droit comme un crucifié décloué qu'on aurait jeté la face contre terre.|6.97
lesmis/lesmis_4076.wav|Il demeura douze heures, les douze heures d'une longue nuit d'hiver, glacé, sans relever la tête et sans prononcer une parole.|Il demeura douze heures, les douze heures d'une longue nuit d'hiver, glacé, sans relever la tête et sans prononcer une parole.|8.41
lesmis/lesmis_4077.wav|Il était immobile comme un cadavre, pendant que sa pensée se roulait à terre et s'envolait, tantôt comme l'hydre, tantôt comme l'aigle.|Il était immobile comme un cadavre, pendant que sa pensée se roulait à terre et s'envolait, tantôt comme l'hydre, tantôt comme l'aigle.|9.12
lesmis/lesmis_4078.wav|À le voir ainsi sans mouvement on eût dit un mort; tout à coup il tressaillait convulsivement et sa bouche, collée aux vêtements de Cosette,|le voir ainsi sans mouvement on eût dit un mort; tout à coup il tressaillait convulsivement et sa bouche, collée aux vêtements de Cosette,|9.72
lesmis/lesmis_4079.wav|les baisait; alors on voyait qu'il vivait. Qui? on?|les baisait; alors on voyait qu'il vivait. Qui? on?|6.5
lesmis/lesmis_4080.wav|puisque Jean Valjean était seul et qu'il n'y avait personne là? Le On qui est dans les ténèbres.|puisque Jean Valjean était seul et qu'il n'y avait personne là? Le On qui est dans les ténèbres.|8.59
lesmis/lesmis_4081.wav|Livre|Livre|8.28
lesmis/lesmis_4082.wav|La dernière gorgée du calice Chapitre I Le septième cercle et le huitième ciel|La dernière gorgée du calice Chapitre I Le septième cercle et le huitième ciel|7.58
lesmis/lesmis_4083.wav|Les lendemains de noce sont solitaires. On respecte le recueillement des heureux. Et aussi un peu leur sommeil attardé.|Les lendemains de noce sont solitaires. On respecte le recueillement des heureux. Et aussi un peu leur sommeil attardé.|9.24
lesmis/lesmis_4084.wav|Le brouhaha des visites et des félicitations ne commence que plus tard. Le matin du dix-sept février, il était un peu plus de midi quand Basque,|Le brouhaha des visites et des félicitations ne commence que plus tard. Le matin du février, il était un peu plus de midi quand Basque,|9.9
lesmis/lesmis_4085.wav|la serviette et le plumeau sous le bras, occupé «à faire son antichambre», entendit un léger frappement à la porte.|la serviette et le plumeau sous le bras, occupé à faire son antichambre , entendit un léger frappement à la porte.|8.41
lesmis/lesmis_4086.wav|On n'avait point sonné, ce qui est discret un pareil jour. Basque ouvrit et vit M. Fauchelevent. Il l'introduisit dans le salon,|On n'avait point sonné, ce qui est discret un pareil jour. Basque ouvrit et vit monsieur Fauchelevent. Il l'introduisit dans le salon,|9.59
lesmis/lesmis_4087.wav|encore encombré et sens dessus dessous, et qui avait l'air du champ de bataille des joies de la veille.|encore encombré et sens dessus dessous, et qui avait l'air du champ de bataille des joies de la veille.|6.97
lesmis/lesmis_4088.wav|--Dame, monsieur, observa Basque, nous nous sommes réveillés tard. --Votre maître est-il levé? demanda Jean Valjean.|--Dame, monsieur, observa Basque, nous nous sommes réveillés tard. --Votre maître est-il levé? demanda Jean Valjean.|8.49
lesmis/lesmis_4089.wav|--Comment va le bras de monsieur? répondit Basque. --Mieux. Votre maître est-il levé? --Lequel? l'ancien ou le nouveau?|--Comment va le bras de monsieur? répondit Basque. --Mieux. Votre maître est-il levé? --Lequel? l'ancien ou le nouveau?|8.92
lesmis/lesmis_4090.wav|--Monsieur Pontmercy. --Monsieur le baron? fit Basque en se redressant. On est surtout baron pour ses domestiques.|--Monsieur Pontmercy. --Monsieur le baron? fit Basque en se redressant. On est surtout baron pour ses domestiques.|8.54
lesmis/lesmis_4091.wav|Il leur en revient quelque chose; ils ont ce qu'un philosophe appellerait l'éclaboussure du titre, et cela les flatte.|Il leur en revient quelque chose; ils ont ce qu'un philosophe appellerait l'éclaboussure du titre, et cela les flatte.|8.01
lesmis/lesmis_4092.wav|Marius, pour le dire en passant, républicain militant, et il l'avait prouvé, était maintenant baron malgré lui.|Marius, pour le dire en passant, républicain militant, et il l'avait prouvé, était maintenant baron malgré lui.|8.15
lesmis/lesmis_4093.wav|Une petite révolution s'était faite dans la famille sur ce titre. C'était à présent M. Gillenormand qui y tenait et Marius qui s'en détachait.|Une petite révolution s'était faite dans la famille sur ce titre. C'était à présent monsieur Gillenormand qui y tenait et Marius qui s'en détachait.|9.52
lesmis/lesmis_4094.wav|Mais le colonel Pontmercy avait écrit: _Mon fils portera mon titre_. Marius obéissait. Et puis Cosette,|Mais le colonel Pontmercy avait écrit: Mon fils portera mon titre . Marius obéissait. Et puis Cosette,|8.69
lesmis/lesmis_4095.wav|en qui la femme commençait à poindre, était ravie d'être baronne. --Monsieur le baron? répéta Basque. Je vais voir.|en qui la femme commençait à poindre, était ravie d'être baronne. --Monsieur le baron? répéta Basque. Je vais voir.|9.0
lesmis/lesmis_4096.wav|Je vais lui dire que monsieur Fauchelevent est là. --Non. Ne lui dites pas que c'est moi. Dites-lui que quelqu'un demande à lui parler en particulier,|Je vais lui dire que monsieur Fauchelevent est là. --Non. Ne lui dites pas que c'est moi. Dites-lui que quelqu'un demande à lui parler en particulier,|9.6
lesmis/lesmis_4097.wav|et ne lui dites pas de nom. --Ah! fit Basque. --Je veux lui faire une surprise. --Ah! reprit Basque,|et ne lui dites pas de nom. --Ah! fit Basque. --Je veux lui faire une surprise. --Ah! reprit Basque,|7.68
lesmis/lesmis_4098.wav|se donnant à lui-même son second ah! comme explication du premier. Et il sortit. Jean Valjean resta seul.|se donnant à lui-même son second ah! comme explication du premier. Et il sortit. Jean Valjean resta seul.|9.87
lesmis/lesmis_4099.wav|Le salon, nous venons de le dire, était tout en désordre. Il semblait qu'en prêtant l'oreille on eût pu y entendre encore la vague rumeur de la noce.|Le salon, nous venons de le dire, était tout en désordre. Il semblait qu'en prêtant l'oreille on eût pu y entendre encore la vague rumeur de la noce.|9.72
lesmis/lesmis_4100.wav|Il y avait sur le parquet toutes sortes de fleurs tombées des guirlandes et des coiffures.|Il y avait sur le parquet toutes sortes de fleurs tombées des guirlandes et des coiffures.|4.91
lesmis/lesmis_4101.wav|Les bougies brûlées jusqu'au tronçon ajoutaient aux cristaux des lustres des stalactites de cire. Pas un meuble n'était à sa place.|Les bougies brûlées jusqu'au tronçon ajoutaient aux cristaux des lustres des stalactites de cire. Pas un meuble n'était à sa place.|9.42
lesmis/lesmis_4102.wav|Dans des coins, trois ou quatre fauteuils, rapprochés les uns des autres et faisant cercle, avaient l'air de continuer une causerie. L'ensemble était riant.|Dans des coins, trois ou quatre fauteuils, rapprochés les uns des autres et faisant cercle, avaient l'air de continuer une causerie. L'ensemble était riant.|9.55
lesmis/lesmis_4103.wav|Il y a encore une certaine grâce dans une fête morte. Cela a été heureux.|Il y a encore une certaine grâce dans une fête morte. Cela a été heureux.|5.22
lesmis/lesmis_4104.wav|Sur ces chaises en désarroi, parmi ces fleurs qui se fanent, sous ces lumières éteintes, on a pensé de la joie. Le soleil succédait au lustre,|Sur ces chaises en désarroi, parmi ces fleurs qui se fanent, sous ces lumières éteintes, on a pensé de la joie. Le soleil succédait au lustre,|9.56
lesmis/lesmis_4105.wav|et entrait gaîment dans le salon. Quelques minutes s'écoulèrent. Jean Valjean était immobile à l'endroit où Basque l'avait quitté.|et entrait gaîment dans le salon. Quelques minutes s'écoulèrent. Jean Valjean était immobile à l'endroit où Basque l'avait quitté.|8.97
lesmis/lesmis_4106.wav|Il était très pâle. Ses yeux étaient creux et tellement enfoncés par l'insomnie sous l'orbite qu'ils y disparaissaient presque.|Il était très pâle. Ses yeux étaient creux et tellement enfoncés par l'insomnie sous l'orbite qu'ils y disparaissaient presque.|8.32
lesmis/lesmis_4107.wav|Son habit noir avait les plis fatigués d'un vêtement qui a passé la nuit. Les coudes étaient blanchis de ce duvet que laisse au drap le frottement du linge.|Son habit noir avait les plis fatigués d'un vêtement qui a passé la nuit. Les coudes étaient blanchis de ce duvet que laisse au drap le frottement du linge.|9.36
